
MÉTRICAS DE RENDIMIENTO
Entregas_Completadas,4
Tiempo_Total_Espera,184
Distancia_Total,118.04
Satisfacción_Cliente,100.00
Utilización_Recursos,12.04
Tiempo_Ejecución,0.0000

MÉTRICAS DE RENDIMIENTO
Entregas_Completadas,4
Tiempo_Total_Espera,184
Distancia_Total,118.04
Satisfacción_Cliente,100.00
Utilización_Recursos,12.04
Tiempo_Ejecución,0.0000

MÉTRICAS DE RENDIMIENTO
Entregas_Completadas,10
Tiempo_Total_Espera,1086
Distancia_Total,747.02
Satisfacción_Cliente,100.00
Utilización_Recursos,67.05
Tiempo_Ejecución,0.0000

MÉTRICAS DE RENDIMIENTO
Entregas_Completadas,10
Tiempo_Total_Espera,1086
Distancia_Total,747.02
Satisfacción_Cliente,100.00
Utilización_Recursos,67.05
Tiempo_Ejecución,0.0000

MÉTRICAS DE RENDIMIENTO
Entregas_Completadas,10
Tiempo_Total_Espera,1086
Distancia_Total,747.02
Satisfacción_Cliente,100.00
Utilización_Recursos,67.05
Tiempo_Ejecución,0.0000

MÉTRICAS DE RENDIMIENTO
Entregas_Completadas,10
Tiempo_Total_Espera,1086
Distancia_Total,747.02
Satisfacción_Cliente,100.00
Utilización_Recursos,67.05
Tiempo_Ejecución,0.0000

MÉTRICAS DE RENDIMIENTO
Entregas_Completadas,10
Tiempo_Total_Espera,1086
Distancia_Total,747.02
Satisfacción_Cliente,100.00
Utilización_Recursos,67.05
Tiempo_Ejecución,0.0000
